organismQuantity	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	phylum	class	order	family	genus	verbatimIdentification	scientificName	scientificNameID	taxonRank	kingdom	occurrenceID	materialSampleID
236086	present	Hugo Gante	eDNA expeditions citizen science sampling	809298	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;0.98;0.98;0.95;0.95. Confirmation with VSEARCH against the 12S_mimammal_ncbi_CRABS_202311 database at 0.97 similarity: hits KY411495,KC911343,DQ112748,MN503404,JQ702405,JQ702343,JN160804,MF464491,KC914580,MZ846685, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Homo_sapiens,Homo_sapiens,Homo_sapiens, consensus Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Animalia	asv.1_EE0014	EE0014
235209	present	Hugo Gante	eDNA expeditions citizen science sampling	796479	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Carnivora	Phocidae	Mirounga	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Mirounga;Mirounga_leonina, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 12S_mimammal_ncbi_CRABS_202311 database at 0.97 similarity: hits AY377291,AM181023, identities 99.4,99.4, taxonomy Mirounga_leonina,Mirounga_leonina, consensus Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Mirounga;Mirounga_leonina.	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	species	Animalia	asv.7_EE0010	EE0010
227726	present	Hugo Gante	eDNA expeditions citizen science sampling	748896	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;0.98;0.98;0.95;0.95. Confirmation with VSEARCH against the 12S_mimammal_ncbi_CRABS_202311 database at 0.97 similarity: hits KY411495,KC911343,DQ112748,MN503404,JQ702405,JQ702343,JN160804,MF464491,KC914580,MZ846685, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Homo_sapiens,Homo_sapiens,Homo_sapiens, consensus Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Animalia	asv.1_EE0007	EE0007
167816	present	Hugo Gante	eDNA expeditions citizen science sampling	796479	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Carnivora	Phocidae	Mirounga	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Mirounga;Mirounga_leonina, confidences 1;1;1;1;1;1;1. Confirmation with VSEARCH against the 12S_mimammal_ncbi_CRABS_202311 database at 0.97 similarity: hits AY377291,AM181023, identities 99.4,99.4, taxonomy Mirounga_leonina,Mirounga_leonina, consensus Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Mirounga;Mirounga_leonina.	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	species	Animalia	asv.12_EE0010	EE0010
164971	present	Hugo Gante	eDNA expeditions citizen science sampling	809298	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;0.99;0.99;0.96;0.96. Confirmation with VSEARCH against the 12S_mimammal_ncbi_CRABS_202311 database at 0.97 similarity: hits KY411495,KC911343,DQ112748,MN503404,JQ702405,JQ702343,JN160804,MF464491,KC914580,MZ846685, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Homo_sapiens,Homo_sapiens,Homo_sapiens, consensus Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Animalia	asv.2_EE0014	EE0014
159236	present	Hugo Gante	eDNA expeditions citizen science sampling	748896	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;0.99;0.99;0.96;0.96. Confirmation with VSEARCH against the 12S_mimammal_ncbi_CRABS_202311 database at 0.97 similarity: hits KY411495,KC911343,DQ112748,MN503404,JQ702405,JQ702343,JN160804,MF464491,KC914580,MZ846685, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Homo_sapiens,Homo_sapiens,Homo_sapiens, consensus Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Animalia	asv.2_EE0007	EE0007
124711	present	Hugo Gante	eDNA expeditions citizen science sampling	809298	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;0.99;0.99;0.96;0.96. Confirmation with VSEARCH against the 12S_mimammal_ncbi_CRABS_202311 database at 0.97 similarity: hits KY411495,KC911343,DQ112748,MN503404,JQ702405,JQ702343,JN160804,MF464491,KC914580,MZ846685, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Homo_sapiens,Homo_sapiens,Homo_sapiens, consensus Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Animalia	asv.3_EE0014	EE0014
111504	present	Hugo Gante	eDNA expeditions citizen science sampling	809298	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;0.99;0.99;0.96;0.96. Confirmation with VSEARCH against the 12S_mimammal_ncbi_CRABS_202311 database at 0.97 similarity: hits KY411495,KC911343,DQ112748,MN503404,JQ702405,JQ702343,JN160804,MF464491,KC914580,MZ846685, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Homo_sapiens,Homo_sapiens,Homo_sapiens, consensus Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Animalia	asv.4_EE0014	EE0014
107500	present	Hugo Gante	eDNA expeditions citizen science sampling	748896	DNA Sequence reads	DNA Sequence reads	Chordata	Mammalia	Primates	Hominidae	Homo	Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens, confidences 1;1;1;0.99;0.99;0.96;0.96. Confirmation with VSEARCH against the 12S_mimammal_ncbi_CRABS_202311 database at 0.97 similarity: hits KY411495,KC911343,DQ112748,MN503404,JQ702405,JQ702343,JN160804,MF464491,KC914580,MZ846685, identities 100,100,100,100,100,100,100,100,100,100, taxonomy Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Homo_sapiens,Cloning_vector_pRS316-1B9,Homo_sapiens,Homo_sapiens,Homo_sapiens, consensus Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens.	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	Animalia	asv.4_EE0007	EE0007
104485	present	Hugo Gante	eDNA expeditions citizen science sampling	843752	DNA Sequence reads	DNA Sequence reads	Chordata	Teleostei	Perciformes	Nototheniidae		Identification based on the RDP classifier at the confidence level 0.8: taxonomy Eukaryota;Chordata;Actinopteri;Perciformes;Nototheniidae;Trematomus;Trematomus_loennbergii, confidences 1;1;1;1;0.99;0.72;0.39. No VSEARCH hits at 0.97 identity.	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	family	Animalia	asv.5_EE0013	EE0013
